A,B,Pretty Formula,predicted_structure,probability,Parent formula,parent_structure,In DB?,Experimental CN,Predicted CN,Validation
Li1+,Si1-,LiSi,"Li1+ Si1-
1.0
3.290041 6.064915 0.0
-3.290041 6.064915 0.0
0.0 5.31587 9.703915
Li Si
8 8
Cartesian
0.6189784436169999 6.879905985605 4.3865577366 Li1+
0.6189784436169998 7.907859014395 0.46539976340000005 Li1+
-0.6189784436169999 10.565794014395 5.3173572634 Li1+
-0.6189784436169999 9.537840985605001 9.2385152366 Li1+
2.229762776971 5.011790097095 1.37634508011 Li1+
2.229762776971 9.775974902905 3.47561241989 Li1+
-2.229762776971 12.433909902905 8.32756991989 Li1+
-2.229762776971 7.669725097095 6.22830258011 Li1+
0.249526579563 1.945831073535 1.38073124969 Si1-
0.24952657956299978 12.841933926465 3.47122625031 Si1-
-0.24952657956299992 15.499868926465 8.32318375031 Si1-
-0.24952657956299998 4.603766073535001 6.23268874969 Si1-
-1.36477480762 8.47464028782 3.035743656855 Si1-
-1.36477480762 6.3131247121800005 1.8162138431450001 Si1-
1.36477480762 8.97105971218 6.668171343145 Si1-
1.36477480762 11.13257528782 7.887701156855001 Si1-
",0.009013761166924443,NaSi,"Na1+ Si1-
1.0
3.290041 6.064915 0.0
-3.290041 6.064915 0.0
0.0 5.31587 9.703915
Na Si
8 8
Cartesian
0.6189784436169999 6.879905985605 4.3865577366 Na1+
0.6189784436169998 7.907859014395 0.46539976340000005 Na1+
-0.6189784436169999 10.565794014395 5.3173572634 Na1+
-0.6189784436169999 9.537840985605001 9.2385152366 Na1+
2.229762776971 5.011790097095 1.37634508011 Na1+
2.229762776971 9.775974902905 3.47561241989 Na1+
-2.229762776971 12.433909902905 8.32756991989 Na1+
-2.229762776971 7.669725097095 6.22830258011 Na1+
0.249526579563 1.945831073535 1.38073124969 Si1-
0.24952657956299978 12.841933926465 3.47122625031 Si1-
-0.24952657956299992 15.499868926465 8.32318375031 Si1-
-0.24952657956299998 4.603766073535001 6.23268874969 Si1-
-1.36477480762 8.47464028782 3.035743656855 Si1-
-1.36477480762 6.3131247121800005 1.8162138431450001 Si1-
1.36477480762 8.97105971218 6.668171343145 Si1-
1.36477480762 11.13257528782 7.887701156855001 Si1-
",Yes,5,3,Incorrect
Li1+,P1-,LiP,"Li1+ P1-
1.0
5.669552 0.0 0.0
0.0 6.064427 0.0
0.0 0.0 10.158224
Li P
8 8
Cartesian
4.792137802032 2.0375504411680003 7.268422594704 Li1+
1.9573618020320003 0.994663058832 2.889801405296 Li1+
0.8774141979680001 5.0697639411679996 7.968913405296001 Li1+
3.7121901979680003 4.026876558832001 2.189310594704 Li1+
0.656437739216 3.727888178878 4.245304657632 Li1+
3.491213739216 5.368752321122001 5.912919342368 Li1+
5.0131142607840005 0.695674678878 0.833807342368 Li1+
2.178338260784 2.336538821122 9.324416657632 Li1+
3.474624630064 2.680907308317 4.7280945696800005 P1-
0.6398486300640001 0.35130619168300004 5.43012943032 P1-
2.1949273699360003 5.713120808317 0.35101743032000005 P1-
5.0297033699360005 3.3835196916830004 9.80720656968 P1-
1.9696307125600003 1.946038237738 6.252904941424 P1-
4.8044067125600005 1.086175262262 3.905319058576 P1-
3.6999212874400005 4.978251737738001 8.984431058576002 P1-
0.8651452874400001 4.118388762262 1.173792941424 P1-
",0.009013761166924443,NaP,"Na1+ P1-
1.0
5.669552 0.0 0.0
0.0 6.064427 0.0
0.0 0.0 10.158224
Na P
8 8
Cartesian
4.792137802032 2.0375504411680003 7.268422594704 Na1+
1.9573618020320003 0.994663058832 2.889801405296 Na1+
0.8774141979680001 5.0697639411679996 7.968913405296001 Na1+
3.7121901979680003 4.026876558832001 2.189310594704 Na1+
0.656437739216 3.727888178878 4.245304657632 Na1+
3.491213739216 5.368752321122001 5.912919342368 Na1+
5.0131142607840005 0.695674678878 0.833807342368 Na1+
2.178338260784 2.336538821122 9.324416657632 Na1+
3.474624630064 2.680907308317 4.7280945696800005 P1-
0.6398486300640001 0.35130619168300004 5.43012943032 P1-
2.1949273699360003 5.713120808317 0.35101743032000005 P1-
5.0297033699360005 3.3835196916830004 9.80720656968 P1-
1.9696307125600003 1.946038237738 6.252904941424 P1-
4.8044067125600005 1.086175262262 3.905319058576 P1-
3.6999212874400005 4.978251737738001 8.984431058576002 P1-
0.8651452874400001 4.118388762262 1.173792941424 P1-
",Yes,6,5,Incorrect
Li1+,S1-,LiS,"Li1+ S1-
1.0
2.257155 -3.909507 0.0
2.257155 3.909507 0.0
0.0 0.0 10.284149
Li S
4 4
Cartesian
0.0 0.0 0.0 Li1+
0.0 0.0 5.1420745 Li1+
2.257155 1.303171606338 2.57103725 Li1+
2.257155 -1.3031716063379999 7.7131117499999995 Li1+
2.257155 1.303171606338 6.628658522098999 S1-
2.257155 -1.3031716063379999 1.486584022099 S1-
2.257155 -1.3031716063379999 3.655490477901 S1-
2.257155 1.303171606338 8.797564977900999 S1-
",0.009013761166924443,NaS,"Na1+ S1-
1.0
2.257155 -3.909507 0.0
2.257155 3.909507 0.0
0.0 0.0 10.284149
Na S
4 4
Cartesian
0.0 0.0 0.0 Na1+
0.0 0.0 5.1420745 Na1+
2.257155 1.303171606338 2.57103725 Na1+
2.257155 -1.3031716063379999 7.7131117499999995 Na1+
2.257155 1.303171606338 6.628658522098999 S1-
2.257155 -1.3031716063379999 1.486584022099 S1-
2.257155 -1.3031716063379999 3.655490477901 S1-
2.257155 1.303171606338 8.797564977900999 S1-
",Yes,4,6,Incorrect
Li1+,Cl1-,LiCl,"Cl1- Li1+
1.0
0.0 2.845847 2.845847
2.845847 0.0 2.845847
2.845847 2.845847 0.0
Cl Li
1 1
Cartesian
2.845847 2.845847 2.845847 Cl1-
0.0 0.0 0.0 Li1+
",0.009013761166924443,NaCl,"Cl1- Na1+
1.0
0.0 2.845847 2.845847
2.845847 0.0 2.845847
2.845847 2.845847 0.0
Cl Na
1 1
Cartesian
2.845847 2.845847 2.845847 Cl1-
0.0 0.0 0.0 Na1+
",Yes,6,6,Correct
Li1+,Br1-,LiBr,"Br1- Li1+
1.0
0.0 3.013798 3.013798
3.013798 0.0 3.013798
3.013798 3.013798 0.0
Br Li
1 1
Cartesian
3.013798 3.013798 3.013798 Br1-
0.0 0.0 0.0 Li1+
",0.009013761166924443,NaBr,"Br1- Na1+
1.0
0.0 3.013798 3.013798
3.013798 0.0 3.013798
3.013798 3.013798 0.0
Br Na
1 1
Cartesian
3.013798 3.013798 3.013798 Br1-
0.0 0.0 0.0 Na1+
",Yes,6,6,Correct
Li1+,I1-,LiI,"I1- Li1+
1.0
0.0 3.265998 3.265998
3.265998 0.0 3.265998
3.265998 3.265998 0.0
I Li
1 1
Cartesian
3.265998 3.265998 3.265998 I1-
0.0 0.0 0.0 Li1+
",0.009013761166924443,NaI,"I1- Na1+
1.0
0.0 3.265998 3.265998
3.265998 0.0 3.265998
3.265998 3.265998 0.0
I Na
1 1
Cartesian
3.265998 3.265998 3.265998 I1-
0.0 0.0 0.0 Na1+
",Yes,4,6,Incorrect
Be2+,O2-,BeO,"Be2+ O2-
1.0
0.0 2.43726 2.43726
2.43726 0.0 2.43726
2.43726 2.43726 0.0
Be O
1 1
Cartesian
0.0 0.0 0.0 Be2+
1.21863 1.21863 1.21863 O2-
",0.008103711303712163,BeS,"Be2+ S2-
1.0
0.0 2.43726 2.43726
2.43726 0.0 2.43726
2.43726 2.43726 0.0
Be S
1 1
Cartesian
0.0 0.0 0.0 Be2+
1.21863 1.21863 1.21863 S2-
",Yes,4,4,Correct
Be2+,S2-,BeS,"Be2+ S2-
1.0
1.354855 -2.346678 0.0
1.354855 2.346678 0.0
0.0 0.0 4.402034
Be S
2 2
Cartesian
1.354855 0.782227564452 2.2012018854279995 Be2+
1.354855 -0.782227564452 0.00018488542799999997 Be2+
1.354855 0.782227564452 0.538183872772 S2-
1.354855 -0.782227564452 2.7392008727719994 S2-
",0.008026915217539591,BeO,"Be2+ O2-
1.0
1.354855 -2.346678 0.0
1.354855 2.346678 0.0
0.0 0.0 4.402034
Be O
2 2
Cartesian
1.354855 0.782227564452 2.2012018854279995 Be2+
1.354855 -0.782227564452 0.00018488542799999997 Be2+
1.354855 0.782227564452 0.538183872772 O2-
1.354855 -0.782227564452 2.7392008727719994 O2-
",Yes,4,4,Correct
Be2+,Se2-,BeSe,"Be2+ Se2-
1.0
0.0 3.000256 3.000256
3.000256 0.0 3.000256
3.000256 3.000256 0.0
Be Se
1 1
Cartesian
0.0 0.0 0.0 Be2+
1.500128 1.500128 1.500128 Se2-
",0.007675936789835027,MgSe,"Mg2+ Se2-
1.0
0.0 3.000256 3.000256
3.000256 0.0 3.000256
3.000256 3.000256 0.0
Mg Se
1 1
Cartesian
0.0 0.0 0.0 Mg2+
1.500128 1.500128 1.500128 Se2-
",Yes,4,4,Correct
Be2+,Te2-,BeTe,"Be2+ Te2-
1.0
2.30544 -3.99314 0.0
2.30544 3.99314 0.0
0.0 0.0 7.509375
Be Te
2 2
Cartesian
2.30544 1.3310493287600003 7.4860283531250005 Be2+
2.30544 -1.3310493287600003 3.7313408531250003 Be2+
2.30544 1.3310493287600003 2.8018153968750004 Te2-
2.30544 -1.3310493287600003 6.556502896875 Te2-
",0.007675936789835027,MgTe,"Mg2+ Te2-
1.0
2.30544 -3.99314 0.0
2.30544 3.99314 0.0
0.0 0.0 7.509375
Mg Te
2 2
Cartesian
2.30544 1.3310493287600003 7.4860283531250005 Mg2+
2.30544 -1.3310493287600003 3.7313408531250003 Mg2+
2.30544 1.3310493287600003 2.8018153968750004 Te2-
2.30544 -1.3310493287600003 6.556502896875 Te2-
",Yes,4,4,Correct
B3+,N3-,BN,"B3+ N3-
1.0
6.417563 0.0 0.0
0.0 6.64336 0.0
0.0 0.0 7.368856
B N
8 8
Cartesian
0.556755678065 6.4352567480000005 0.343469747016 B3+
3.765537178065 0.20810325200000002 3.340958252984 B3+
2.652025821935 3.1135767480000003 7.025386252984 B3+
5.860807321935 3.5297832520000005 4.027897747016 B3+
5.860807321935 0.20810325200000002 7.025386252984 B3+
2.652025821935 6.4352567480000005 4.027897747016 B3+
3.765537178065 3.5297832520000005 0.343469747016 B3+
0.556755678065 3.1135767480000003 3.340958252984 B3+
1.504937776189 6.08109258304 0.926641010856 N3-
4.713719276189001 0.56226741696 2.757786989144 N3-
1.703843723811 2.75941258304 6.442214989144 N3-
4.912625223811 3.8839474169600003 4.611069010855999 N3-
4.912625223811 0.56226741696 6.442214989144 N3-
1.703843723811 6.08109258304 4.611069010855999 N3-
4.713719276189001 3.8839474169600003 0.926641010856 N3-
1.504937776189 2.75941258304 2.757786989144 N3-
",0.007599860432344629,CN,"C3+ N3-
1.0
6.417563 0.0 0.0
0.0 6.64336 0.0
0.0 0.0 7.368856
C N
8 8
Cartesian
0.556755678065 6.4352567480000005 0.343469747016 C3+
3.765537178065 0.20810325200000002 3.340958252984 C3+
2.652025821935 3.1135767480000003 7.025386252984 C3+
5.860807321935 3.5297832520000005 4.027897747016 C3+
5.860807321935 0.20810325200000002 7.025386252984 C3+
2.652025821935 6.4352567480000005 4.027897747016 C3+
3.765537178065 3.5297832520000005 0.343469747016 C3+
0.556755678065 3.1135767480000003 3.340958252984 C3+
1.504937776189 6.08109258304 0.926641010856 N3-
4.713719276189001 0.56226741696 2.757786989144 N3-
1.703843723811 2.75941258304 6.442214989144 N3-
4.912625223811 3.8839474169600003 4.611069010855999 N3-
4.912625223811 0.56226741696 6.442214989144 N3-
1.703843723811 6.08109258304 4.611069010855999 N3-
4.713719276189001 3.8839474169600003 0.926641010856 N3-
1.504937776189 2.75941258304 2.757786989144 N3-
",Yes,3,1,Incorrect
B3+,P3-,BP,"B3+ P3-
1.0
0.0 2.753556 2.753556
2.753556 0.0 2.753556
2.753556 2.753556 0.0
B P
1 1
Cartesian
0.0 0.0 0.0 B3+
1.376778 1.376778 1.376778 P3-
",0.007465969240162655,AlP,"Al3+ P3-
1.0
0.0 2.753556 2.753556
2.753556 0.0 2.753556
2.753556 2.753556 0.0
Al P
1 1
Cartesian
0.0 0.0 0.0 Al3+
1.376778 1.376778 1.376778 P3-
",Yes,4,4,Correct
B1+,Cl1-,BCl,"B1+ Cl1-
1.0
0.0 2.32781 2.32781
2.32781 0.0 2.32781
2.32781 2.32781 0.0
B Cl
1 1
Cartesian
0.0 0.0 0.0 B1+
2.32781 2.32781 2.32781 Cl1-
",0.006388098691776322,NCl,"Cl1- N1+
1.0
0.0 2.32781 2.32781
2.32781 0.0 2.32781
2.32781 2.32781 0.0
Cl N
1 1
Cartesian
2.32781 2.32781 2.32781 Cl1-
0.0 0.0 0.0 N1+
",Yes,1,6,Incorrect
B3+,As3-,BAs,"As3- B3+
1.0
0.0 2.641196 2.641196
2.641196 0.0 2.641196
2.641196 2.641196 0.0
As B
1 1
Cartesian
1.320598 1.320598 1.320598 As3-
0.0 0.0 0.0 B3+
",0.007923188269418683,BSb,"B3+ Sb3-
1.0
0.0 2.641196 2.641196
2.641196 0.0 2.641196
2.641196 2.641196 0.0
B Sb
1 1
Cartesian
0.0 0.0 0.0 B3+
1.320598 1.320598 1.320598 Sb3-
",Yes,4,4,Correct
B3+,Sb3-,BSb,"B3+ Sb3-
1.0
0.0 2.409627 2.409627
2.409627 0.0 2.409627
2.409627 2.409627 0.0
B Sb
1 1
Cartesian
3.6144404999999997 3.6144404999999997 3.6144404999999997 B3+
0.0 0.0 0.0 Sb3-
",0.007524714366607977,BAs,"As3- B3+
1.0
0.0 2.409627 2.409627
2.409627 0.0 2.409627
2.409627 2.409627 0.0
As B
1 1
Cartesian
0.0 0.0 0.0 As3-
3.6144404999999997 3.6144404999999997 3.6144404999999997 B3+
",Yes,4,4,Correct
C3+,N3-,CN,"C3+ N3-
1.0
1.256214 -2.175827 0.0
1.256214 2.175827 0.0
0.0 0.0 7.707265
C N
2 2
Cartesian
1.256214 0.7252771172179999 1.92681625 C3+
1.256214 -0.7252771172179999 5.78044875 C3+
1.256214 0.7252771172179999 5.78044875 N3-
1.256214 -0.7252771172179999 1.92681625 N3-
",0.007553377465028684,BN,"B3+ N3-
1.0
1.256214 -2.175827 0.0
1.256214 2.175827 0.0
0.0 0.0 7.707265
B N
2 2
Cartesian
1.256214 0.7252771172179999 1.92681625 B3+
1.256214 -0.7252771172179999 5.78044875 B3+
1.256214 0.7252771172179999 5.78044875 N3-
1.256214 -0.7252771172179999 1.92681625 N3-
",Yes,2,3,Incorrect
C2+,O2-,CO,"C2+ O2-
1.0
1.354855 -2.346678 0.0
1.354855 2.346678 0.0
0.0 0.0 4.402034
C O
2 2
Cartesian
1.354855 0.782227564452 2.2012018854279995 C2+
1.354855 -0.782227564452 0.00018488542799999997 C2+
1.354855 0.782227564452 0.538183872772 O2-
1.354855 -0.782227564452 2.7392008727719994 O2-
",0.006298730902181398,BeO,"Be2+ O2-
1.0
1.354855 -2.346678 0.0
1.354855 2.346678 0.0
0.0 0.0 4.402034
Be O
2 2
Cartesian
1.354855 0.782227564452 2.2012018854279995 Be2+
1.354855 -0.782227564452 0.00018488542799999997 Be2+
1.354855 0.782227564452 0.538183872772 O2-
1.354855 -0.782227564452 2.7392008727719994 O2-
",Yes,1,4,Incorrect
